Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
4,0.4,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,4,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.016,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.04,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.063,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.16,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.25,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,4,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.01497,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.04,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.063,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.15,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.15,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
3,0.25,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
3,0.4,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,0.63,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
1.75751,0.02452,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.44205,0.02452,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.50011,0.09198,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.50011,0.15189,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.55955,0.23245,0.001,0.00002,1000,1.8,0.07,15,0.051,0
2.74647,0.35576,0.001,0.00002,1000,1.8,0.07,15,0.051,0
3.99982,0.5786,0.001,0.00002,1000,1.8,0.07,15,0.051,0
3.01711,0.58746,0.001,0.00002,1000,1.8,0.07,15,0.051,0
4.29193,0.91284,0.001,0.00002,1000,1.8,0.07,15,0.051,0
3.31442,0.88551,0.001,0.00002,1000,1.8,0.07,15,0.051,0
