Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
4,1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.2,1,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.2,1.6,0.001,0.00002,1000,1.8,0.07,1,0.051,0
6.2,2.5,0.001,0.00002,1000,1.8,0.07,1,0.051,0
2,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,0.025,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,0.1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,0.4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,0.62,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,1,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,2,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,2.5,0.001,0.00002,1000,1.8,0.07,2,0.051,0
6.2,4,0.001,0.00002,1000,1.8,0.07,2,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.025,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.062,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4.5,0.62,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4.5,1,0.001,0.00002,1000,1.8,0.07,5,0.051,0
4,10,0.001,0.00002,1000,1.8,0.07,10,0.051,0
2,0.025,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,10,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,10,0.051,0
1.8,0.016,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.016,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
1.8,0.025,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.04,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.062,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.16,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.6,0.25,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
4,4,0.001,0.00002,1000,1.8,0.07,-1,0.051,0
2.5,0.016,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.04,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.062,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.16,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.16,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.25,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.25,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.4,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,0.62,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,1,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,1.6,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,2.5,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
4,4,0.001,0.00002,1000,1.8,0.07,-5,0.051,0
2.5,0.01497,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.025,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.04,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.062,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
2.5,0.1,0.001,0.00002,1000,1.8,0.07,-10,0.051,0
